OrderID,CustomerID,CustomerName,ProductID,ProductName,Category,Quantity,UnitPrice,OrderDate,City
ORDC0001,CUST5012,Customer_71,P002,Mobile,Electronics,1,25000,2026-02-27,Chennai
ORDC0002,CUST9935,Customer_174,P003,Headphones,Electronics,2,2000,2026-01-23,Chennai
ORDC0003,CUST1488,Customer_9,P010,Football,Sports,7,900,2026-01-24,Chennai
ORDC0004,CUST1434,Customer_130,P004,T-Shirt,Clothing,4,800,2026-05-24,Chennai
ORDC0005,CUST4611,Customer_108,P004,T-Shirt,Clothing,9,800,2026-04-25,Chennai
ORDC0006,CUST3615,Customer_2,P010,Football,Sports,5,900,2026-06-28,Chennai
ORDC0007,CUST3547,Customer_72,P007,Microwave,Home Appliances,6,12000,2026-02-25,Chennai
ORDC0008,CUST7224,Customer_24,P006,Mixer,Home Appliances,2,3500,2026-01-25,Chennai
ORDC0009,CUST5333,Customer_155,P006,Mixer,Home Appliances,6,3500,2026-01-12,Chennai
ORDC0010,CUST7201,Customer_32,P008,Novel,Books,9,500,2026-01-21,Chennai
ORDC0011,CUST6925,Customer_161,P009,Cricket Bat,Sports,5,1800,2026-05-28,Chennai
ORDC0012,CUST4733,Customer_12,P004,T-Shirt,Clothing,2,800,2026-03-16,Chennai
ORDC0013,CUST7227,Customer_26,P002,Mobile,Electronics,4,25000,2026-03-13,Chennai
ORDC0014,CUST7065,Customer_42,P008,Novel,Books,6,500,2026-04-01,Chennai
ORDC0015,CUST2169,Customer_180,P004,T-Shirt,Clothing,5,800,2026-06-05,Chennai
ORDC0016,CUST3677,Customer_63,P003,Headphones,Electronics,9,2000,2026-04-29,Chennai
ORDC0017,CUST4598,Customer_164,P007,Microwave,Home Appliances,5,12000,2026-06-25,Chennai
ORDC0018,CUST1525,Customer_59,P006,Mixer,Home Appliances,1,3500,2026-03-22,Chennai
ORDC0019,CUST4456,Customer_17,P007,Microwave,Home Appliances,5,12000,2026-05-26,Chennai
ORDC0020,CUST9179,Customer_168,P006,Mixer,Home Appliances,4,3500,2026-04-12,Chennai
ORDC0021,CUST3287,Customer_68,P008,Novel,Books,3,500,2026-03-05,Chennai
ORDC0022,CUST8019,Customer_68,P009,Cricket Bat,Sports,9,1800,2026-05-30,Chennai
ORDC0023,CUST3266,Customer_57,P007,Microwave,Home Appliances,6,12000,2026-05-11,Chennai
ORDC0024,CUST2796,Customer_13,P008,Novel,Books,2,500,2026-02-09,Chennai
ORDC0025,CUST2040,Customer_153,P003,Headphones,Electronics,7,2000,2026-04-09,Chennai
ORDC0026,CUST9669,Customer_120,P007,Microwave,Home Appliances,10,12000,2026-03-06,Chennai
ORDC0027,CUST2876,Customer_175,P009,Cricket Bat,Sports,1,1800,2026-06-24,Chennai
ORDC0028,CUST6573,Customer_165,P009,Cricket Bat,Sports,5,1800,2026-01-29,Chennai
ORDC0029,CUST8433,Customer_41,P005,Shoes,Clothing,7,2500,2026-01-01,Chennai
ORDC0030,CUST9317,Customer_46,P005,Shoes,Clothing,9,2500,2026-01-28,Chennai
ORDC0031,CUST4258,Customer_156,P005,Shoes,Clothing,9,2500,2026-02-09,Chennai
ORDC0032,CUST9689,Customer_139,P006,Mixer,Home Appliances,3,3500,2026-01-01,Chennai
ORDC0033,CUST1319,Customer_126,P010,Football,Sports,6,900,2026-01-29,Chennai
ORDC0034,CUST1949,Customer_62,P006,Mixer,Home Appliances,5,3500,2026-03-03,Chennai
ORDC0035,CUST8962,Customer_22,P010,Football,Sports,2,900,2026-01-18,Chennai
ORDC0036,CUST8787,Customer_33,P009,Cricket Bat,Sports,3,1800,2026-05-21,Chennai
ORDC0037,CUST7932,Customer_136,P003,Headphones,Electronics,5,2000,2026-02-24,Chennai
ORDC0038,CUST7537,Customer_80,P009,Cricket Bat,Sports,4,1800,2026-06-21,Chennai
ORDC0039,CUST8397,Customer_133,P006,Mixer,Home Appliances,8,3500,2026-01-31,Chennai
ORDC0040,CUST6539,Customer_17,P004,T-Shirt,Clothing,4,800,2026-01-06,Chennai
ORDC0041,CUST4608,Customer_59,P010,Football,Sports,9,900,2026-01-02,Chennai
ORDC0042,CUST2104,Customer_59,P002,Mobile,Electronics,1,25000,2026-01-09,Chennai
ORDC0043,CUST4899,Customer_132,P006,Mixer,Home Appliances,2,3500,2026-03-13,Chennai
ORDC0044,CUST3167,Customer_139,P008,Novel,Books,4,500,2026-05-27,Chennai
ORDC0045,CUST8749,Customer_63,P010,Football,Sports,8,900,2026-04-15,Chennai
ORDC0046,CUST8062,Customer_25,P004,T-Shirt,Clothing,2,800,2026-04-01,Chennai
ORDC0047,CUST1887,Customer_120,P007,Microwave,Home Appliances,7,12000,2026-06-22,Chennai
ORDC0048,CUST6559,Customer_104,P002,Mobile,Electronics,1,25000,2026-01-28,Chennai
ORDC0049,CUST9786,Customer_49,P004,T-Shirt,Clothing,4,800,2026-04-25,Chennai
ORDC0050,CUST5563,Customer_47,P003,Headphones,Electronics,7,2000,2026-04-29,Chennai
ORDC0051,CUST2604,Customer_114,P004,T-Shirt,Clothing,2,800,2026-01-13,Chennai
ORDC0052,CUST4872,Customer_24,P009,Cricket Bat,Sports,1,1800,2026-02-12,Chennai
ORDC0053,CUST4502,Customer_124,P007,Microwave,Home Appliances,8,12000,2026-04-13,Chennai
ORDC0054,CUST1035,Customer_98,P001,Laptop,Electronics,3,55000,2026-04-10,Chennai
ORDC0055,CUST7930,Customer_74,P005,Shoes,Clothing,8,2500,2026-06-28,Chennai
ORDC0056,CUST4111,Customer_40,P009,Cricket Bat,Sports,8,1800,2026-03-17,Chennai
ORDC0057,CUST9883,Customer_149,P004,T-Shirt,Clothing,1,800,2026-01-16,Chennai
ORDC0058,CUST8811,Customer_13,P006,Mixer,Home Appliances,1,3500,2026-05-09,Chennai
ORDC0059,CUST9320,Customer_15,P009,Cricket Bat,Sports,3,1800,2026-01-21,Chennai
ORDC0060,CUST2113,Customer_153,P003,Headphones,Electronics,2,2000,2026-06-22,Chennai
ORDC0061,CUST5033,Customer_31,P004,T-Shirt,Clothing,7,800,2026-05-29,Chennai
ORDC0062,CUST2343,Customer_159,P010,Football,Sports,1,900,2026-04-18,Chennai
ORDC0063,CUST6183,Customer_134,P010,Football,Sports,10,900,2026-03-08,Chennai
ORDC0064,CUST5351,Customer_62,P004,T-Shirt,Clothing,6,800,2026-04-12,Chennai
ORDC0065,CUST6180,Customer_118,P003,Headphones,Electronics,5,2000,2026-01-19,Chennai
ORDC0066,CUST2638,Customer_160,P001,Laptop,Electronics,8,55000,2026-01-19,Chennai
ORDC0067,CUST5345,Customer_130,P009,Cricket Bat,Sports,4,1800,2026-02-03,Chennai
ORDC0068,CUST7054,Customer_63,P006,Mixer,Home Appliances,2,3500,2026-03-14,Chennai
ORDC0069,CUST5956,Customer_140,P003,Headphones,Electronics,8,2000,2026-06-06,Chennai
ORDC0070,CUST5905,,P009,Cricket Bat,Sports,1,1800,2026-06-19,Chennai
ORDC0071,CUST2891,Customer_68,P002,Mobile,Electronics,3,25000,2026-01-28,Chennai
ORDC0072,CUST5616,Customer_70,P009,Cricket Bat,Sports,3,1800,2026-06-04,Chennai
ORDC0073,CUST5325,Customer_53,P004,T-Shirt,Clothing,6,800,2026-05-10,Chennai
ORDC0074,CUST2512,Customer_14,P008,Novel,Books,5,500,2026-06-12,Chennai
ORDC0075,CUST1058,Customer_12,P007,Microwave,Home Appliances,5,12000,2026-03-27,Chennai
ORDC0076,CUST8239,Customer_42,P003,Headphones,Electronics,5,2000,2026-05-22,Chennai
ORDC0077,CUST2832,Customer_3,P007,Microwave,Home Appliances,9,12000,2026-01-20,Chennai
ORDC0078,CUST7049,Customer_10,P003,Headphones,Electronics,9,2000,2026-05-30,Chennai
ORDC0079,CUST3088,Customer_111,P009,Cricket Bat,Sports,3,1800,2026-01-11,Chennai
ORDC0080,CUST6862,Customer_11,P005,Shoes,Clothing,6,2500,2026-02-23,Chennai
ORDC0081,CUST7658,Customer_91,P004,T-Shirt,Clothing,2,800,2026-06-08,Chennai
ORDC0082,CUST3900,Customer_42,P003,Headphones,Electronics,4,2000,2026-04-16,Chennai
ORDC0083,CUST7745,Customer_86,P001,Laptop,Electronics,3,55000,2026-06-21,Chennai
ORDC0084,CUST2771,Customer_41,P004,T-Shirt,Clothing,5,800,2026-04-08,Chennai
ORDC0085,CUST4269,Customer_57,P001,Laptop,Electronics,8,55000,2026-04-28,Chennai
ORDC0086,CUST4652,Customer_59,P006,Mixer,Home Appliances,5,3500,2026-01-07,Chennai
ORDC0087,CUST5564,Customer_85,P004,T-Shirt,Clothing,7,800,2026-01-18,Chennai
ORDC0088,CUST9346,Customer_165,P005,Shoes,Clothing,6,2500,2026-04-13,Chennai
ORDC0089,CUST2889,Customer_8,P009,Cricket Bat,Sports,6,1800,2026-03-08,Chennai
ORDC0090,CUST1626,Customer_68,P003,Headphones,Electronics,10,2000,2026-01-28,Chennai
ORDC0091,CUST6139,Customer_89,P010,Football,Sports,7,900,2026-04-22,Chennai
ORDC0092,CUST7311,Customer_30,P010,Football,Sports,9,900,2026-05-28,Chennai
ORDC0093,CUST8144,Customer_12,P004,T-Shirt,Clothing,5,800,2026-01-01,Chennai
ORDC0094,CUST4228,Customer_176,P009,Cricket Bat,Sports,9,1800,2026-04-04,Chennai
ORDC0095,CUST6409,Customer_171,P007,Microwave,Home Appliances,2,12000,2026-06-09,Chennai
ORDC0096,CUST9308,Customer_77,P006,Mixer,Home Appliances,2,3500,2026-03-21,Chennai
ORDC0097,CUST5844,Customer_104,P007,Microwave,Home Appliances,6,12000,2026-05-22,Chennai
ORDC0098,CUST7211,Customer_108,P003,Headphones,Electronics,4,2000,2026-06-23,Chennai
ORDC0099,CUST5930,Customer_146,P003,Headphones,Electronics,10,2000,2026-04-14,Chennai
ORDC0100,CUST5700,Customer_78,P009,Cricket Bat,Sports,1,1800,2026-02-23,Chennai
ORDC0101,CUST6279,Customer_156,P007,Microwave,Home Appliances,10,12000,2026-04-30,Chennai
ORDC0102,CUST4501,Customer_173,P008,Novel,Books,8,500,2026-05-11,Chennai
ORDC0103,CUST2389,Customer_169,P008,Novel,Books,3,500,2026-03-14,Chennai
ORDC0104,CUST2530,Customer_86,P009,Cricket Bat,Sports,10,1800,2026-03-02,Chennai
ORDC0105,CUST3414,Customer_51,P005,Shoes,Clothing,4,2500,2026-01-07,Chennai
ORDC0106,CUST2193,Customer_122,P001,Laptop,Electronics,4,55000,2026-04-27,Chennai
ORDC0107,CUST7291,Customer_50,P007,Microwave,Home Appliances,10,12000,2026-05-07,Chennai
ORDC0108,CUST1090,Customer_38,P007,Microwave,Home Appliances,4,12000,2026-01-28,Chennai
ORDC0109,CUST9486,Customer_46,P007,Microwave,Home Appliances,4,12000,2026-04-29,Chennai
ORDC0110,CUST2988,Customer_64,P001,Laptop,Electronics,9,55000,2026-04-27,Chennai
ORDC0111,CUST9702,Customer_171,P003,Headphones,Electronics,8,2000,2026-05-24,Chennai
ORDC0112,CUST9270,Customer_114,P010,Football,Sports,6,900,2026-04-20,Chennai
ORDC0113,CUST8777,Customer_41,P009,Cricket Bat,Sports,8,1800,2026-04-26,Chennai
