OrderID,CustomerID,CustomerName,ProductID,ProductName,Category,Quantity,UnitPrice,OrderDate,City
DELORD0001,CUST6963,Customer_87,P009,Cricket Bat,Sports,10,1900,2026-06-09,Delhi
DELORD0002,CUST7560,Customer_44,P008,Novel,Books,2,450,2026-01-11,Delhi
DELORD0003,CUST9995,Customer_172,P005,Shoes,Clothing,9,2600,2026-04-04,Delhi
DELORD0004,CUST7755,Customer_50,P009,Cricket Bat,Sports,7,1900,2026-06-21,Delhi
DELORD0005,CUST5019,Customer_167,P001,Laptop,Electronics,6,58000,2026-04-11,Delhi
DELORD0006,CUST2164,Customer_151,P005,Shoes,Clothing,3,2600,2026-01-23,Delhi
DELORD0007,CUST3776,Customer_92,P001,Laptop,Electronics,4,58000,2026-05-20,Delhi
DELORD0008,CUST4578,Customer_46,P005,Shoes,Clothing,6,2600,2026-03-25,Delhi
DELORD0009,CUST5448,Customer_108,P005,Shoes,Clothing,5,2600,2026-03-13,Delhi
DELORD0010,CUST7321,Customer_71,P005,Shoes,Clothing,4,2600,2026-06-02,Delhi
DELORD0011,CUST6547,Customer_23,P001,Laptop,Electronics,1,58000,2026-04-29,Delhi
DELORD0012,CUST1153,Customer_150,P001,Laptop,Electronics,6,58000,2026-06-25,Delhi
DELORD0013,CUST8846,Customer_152,P009,Cricket Bat,Sports,10,1900,2026-03-12,Delhi
DELORD0014,CUST6976,Customer_39,P005,Shoes,Clothing,5,2600,2026-03-02,Delhi
DELORD0015,CUST7034,Customer_95,P009,Cricket Bat,Sports,3,1900,2026-02-06,Delhi
DELORD0016,CUST3648,Customer_38,P001,Laptop,Electronics,4,58000,2026-02-06,Delhi
DELORD0017,CUST9814,Customer_168,P005,Shoes,Clothing,10,2600,2026-05-13,Delhi
DELORD0018,CUST4466,Customer_125,P010,Football,Sports,9,850,2026-05-07,Delhi
DELORD0019,CUST9566,Customer_144,P001,Laptop,Electronics,8,58000,2026-03-03,Delhi
DELORD0020,CUST2913,Customer_157,P009,Cricket Bat,Sports,1,1900,2026-03-15,Delhi
DELORD0021,CUST7581,Customer_1,P009,Cricket Bat,Sports,10,1900,2026-01-25,Delhi
DELORD0022,CUST5230,Customer_148,P008,Novel,Books,2,450,2026-06-10,Delhi
DELORD0023,CUST7549,Customer_33,P009,Cricket Bat,Sports,8,1900,2026-06-06,Delhi
DELORD0024,CUST7951,Customer_167,P001,Laptop,Electronics,3,58000,2026-05-09,Delhi
DELORD0025,CUST6380,Customer_149,P010,Football,Sports,7,850,2026-01-05,Delhi
DELORD0026,CUST9555,Customer_57,P001,Laptop,Electronics,9,58000,2026-06-24,Delhi
DELORD0027,CUST1838,Customer_166,P010,Football,Sports,2,850,2026-06-07,Delhi
DELORD0028,CUST8058,Customer_6,P008,Novel,Books,2,450,2026-04-17,Delhi
DELORD0029,CUST5896,Customer_179,P001,Laptop,Electronics,6,58000,2026-06-10,Delhi
DELORD0030,CUST2600,Customer_19,P009,Cricket Bat,Sports,9,1900,2026-03-12,Delhi
DELORD0031,CUST2257,Customer_81,P005,Shoes,Clothing,8,2600,2026-02-09,Delhi
DELORD0032,CUST9151,Customer_61,P009,Cricket Bat,Sports,2,1900,2026-02-18,Delhi
DELORD0033,CUST8358,Customer_45,P009,Cricket Bat,Sports,7,1900,2026-04-02,Delhi
DELORD0034,CUST5143,Customer_73,P009,Cricket Bat,Sports,1,1900,2026-06-22,Delhi
DELORD0035,CUST9077,Customer_78,P010,Football,Sports,4,850,2026-03-12,Delhi
DELORD0036,CUST1852,Customer_95,P001,Laptop,Electronics,8,58000,2026-03-18,Delhi
DELORD0037,CUST3141,Customer_26,P010,Football,Sports,7,850,2026-04-12,Delhi
DELORD0038,CUST4997,Customer_16,P005,Shoes,Clothing,9,2600,2026-01-08,Delhi
DELORD0039,CUST5093,Customer_81,P005,Shoes,Clothing,5,2600,2026-04-17,Delhi
DELORD0040,CUST1632,Customer_102,P009,Cricket Bat,Sports,3,1900,2026-03-09,Delhi
DELORD0041,CUST7476,Customer_40,P008,Novel,Books,5,450,2026-03-31,Delhi
DELORD0042,CUST3801,Customer_66,P001,Laptop,Electronics,10,58000,2026-03-27,Delhi
DELORD0043,CUST3901,Customer_26,P009,Cricket Bat,Sports,4,1900,2026-05-24,Delhi
DELORD0044,CUST3592,Customer_82,P001,Laptop,Electronics,7,58000,2026-04-12,Delhi
DELORD0045,CUST5816,Customer_42,P009,Cricket Bat,Sports,9,1900,2026-03-03,Delhi
DELORD0046,CUST7350,Customer_27,P001,Laptop,Electronics,3,58000,2026-01-03,Delhi
DELORD0047,CUST3610,Customer_50,P009,Cricket Bat,Sports,2,1900,2026-06-13,Delhi
DELORD0048,CUST7333,Customer_70,P005,Shoes,Clothing,8,2600,2026-01-05,Delhi
DELORD0049,CUST9943,Customer_122,P008,Novel,Books,5,450,2026-06-21,Delhi
DELORD0050,CUST2552,Customer_176,P008,Novel,Books,3,450,2026-05-19,Delhi
DELORD0051,CUST2076,Customer_101,P005,Shoes,Clothing,5,2600,2026-04-18,Delhi
DELORD0052,CUST3832,Customer_3,P005,Shoes,Clothing,4,2600,2026-04-04,Delhi
DELORD0053,CUST8828,Customer_97,P008,Novel,Books,9,450,2026-04-08,Delhi
DELORD0054,CUST2750,Customer_163,P001,Laptop,Electronics,7,58000,2026-04-02,Delhi
DELORD0055,CUST9859,Customer_122,P001,Laptop,Electronics,5,58000,2026-02-07,Delhi
