OrderID,CustomerID,CustomerName,ProductID,ProductName,Category,Quantity,UnitPrice,OrderDate,City
MUMORD0001,CUST7259,Customer_151,P007,Microwave,Home Appliances,9,13000,2026-06-07,Mumbai
MUMORD0002,CUST3704,Customer_48,P004,T-Shirt,Clothing,3,900,2026-06-24,Mumbai
MUMORD0003,CUST7173,Customer_76,P007,Microwave,Home Appliances,2,13000,2026-04-14,Mumbai
MUMORD0004,CUST8622,Customer_71,P005,Shoes,Clothing,1,2800,2026-01-15,Mumbai
MUMORD0005,CUST5300,Customer_32,P004,T-Shirt,Clothing,2,900,2026-01-24,Mumbai
MUMORD0006,CUST4369,Customer_162,P002,Mobile,Electronics,1,27000,2026-04-27,Mumbai
MUMORD0007,CUST5522,Customer_111,P004,T-Shirt,Clothing,5,900,2026-05-29,Mumbai
MUMORD0008,CUST7630,Customer_70,P006,Mixer,Home Appliances,8,3800,2026-04-05,Mumbai
MUMORD0009,CUST6085,Customer_130,P002,Mobile,Electronics,10,27000,2026-05-16,Mumbai
MUMORD0010,CUST8900,Customer_31,P005,Shoes,Clothing,3,2800,2026-04-09,Mumbai
MUMORD0011,CUST3179,Customer_15,P006,Mixer,Home Appliances,6,3800,2026-02-23,Mumbai
MUMORD0012,CUST9244,Customer_39,P002,Mobile,Electronics,3,27000,2026-01-15,Mumbai
MUMORD0013,CUST7527,Customer_70,P007,Microwave,Home Appliances,10,13000,2026-02-27,Mumbai
MUMORD0014,CUST5617,Customer_67,P005,Shoes,Clothing,5,2800,2026-04-04,Mumbai
MUMORD0015,CUST2265,Customer_92,P002,Mobile,Electronics,2,27000,2026-03-25,Mumbai
MUMORD0016,CUST2652,Customer_61,P004,T-Shirt,Clothing,7,900,2026-06-19,Mumbai
MUMORD0017,CUST6165,Customer_15,P004,T-Shirt,Clothing,5,900,2026-05-31,Mumbai
MUMORD0018,CUST8433,Customer_161,P005,Shoes,Clothing,5,2800,2026-05-09,Mumbai
MUMORD0019,CUST3185,Customer_95,P006,Mixer,Home Appliances,7,3800,2026-04-03,Mumbai
MUMORD0020,CUST9176,Customer_178,P006,Mixer,Home Appliances,5,3800,2026-01-22,Mumbai
MUMORD0021,CUST8739,Customer_66,P004,T-Shirt,Clothing,10,900,2026-01-11,Mumbai
MUMORD0022,CUST6882,Customer_123,P002,Mobile,Electronics,6,27000,2026-04-20,Mumbai
MUMORD0023,CUST1598,Customer_125,P007,Microwave,Home Appliances,9,13000,2026-05-16,Mumbai
MUMORD0024,CUST7540,Customer_22,P007,Microwave,Home Appliances,8,13000,2026-05-09,Mumbai
MUMORD0025,CUST6332,Customer_3,P002,Mobile,Electronics,10,27000,2026-06-06,Mumbai
MUMORD0026,CUST6051,Customer_94,P002,Mobile,Electronics,3,27000,2026-03-05,Mumbai
MUMORD0027,CUST6294,Customer_27,P007,Microwave,Home Appliances,9,13000,2026-02-26,Mumbai
MUMORD0028,CUST7545,Customer_126,P007,Microwave,Home Appliances,8,13000,2026-03-31,Mumbai
MUMORD0029,CUST6033,Customer_44,P005,Shoes,Clothing,7,2800,2026-06-02,Mumbai
MUMORD0030,CUST5021,Customer_23,P004,T-Shirt,Clothing,7,900,2026-01-08,Mumbai
MUMORD0031,CUST1698,Customer_33,P005,Shoes,Clothing,6,2800,2026-04-23,Mumbai
MUMORD0032,CUST8937,Customer_58,P005,Shoes,Clothing,8,2800,2026-06-15,Mumbai
MUMORD0033,CUST5432,Customer_114,P002,Mobile,Electronics,6,27000,2026-01-30,Mumbai
MUMORD0034,CUST5137,Customer_170,P005,Shoes,Clothing,9,2800,2026-01-10,Mumbai
MUMORD0035,CUST3418,Customer_160,P004,T-Shirt,Clothing,1,900,2026-05-02,Mumbai
MUMORD0036,CUST8830,Customer_114,P004,T-Shirt,Clothing,9,900,2026-06-30,Mumbai
MUMORD0037,CUST5952,Customer_32,P002,Mobile,Electronics,3,27000,2026-03-14,Mumbai
MUMORD0038,CUST4162,Customer_59,P002,Mobile,Electronics,3,27000,2026-04-20,Mumbai
MUMORD0039,CUST5842,Customer_20,P004,T-Shirt,Clothing,4,900,2026-03-20,Mumbai
MUMORD0040,CUST5237,Customer_21,P006,Mixer,Home Appliances,9,3800,2026-03-12,Mumbai
MUMORD0041,CUST2317,Customer_76,P004,T-Shirt,Clothing,3,900,2026-02-26,Mumbai
MUMORD0042,CUST7460,Customer_172,P005,Shoes,Clothing,7,2800,2026-04-08,Mumbai
MUMORD0043,CUST4561,Customer_94,P005,Shoes,Clothing,4,2800,2026-05-09,Mumbai
MUMORD0044,CUST8968,Customer_18,P006,Mixer,Home Appliances,10,3800,2026-06-14,Mumbai
MUMORD0045,CUST8371,Customer_167,P006,Mixer,Home Appliances,4,3800,2026-05-17,Mumbai
MUMORD0046,CUST1560,Customer_114,P002,Mobile,Electronics,1,27000,2026-06-03,Mumbai
MUMORD0047,CUST2689,Customer_77,P006,Mixer,Home Appliances,5,3800,2026-05-02,Mumbai
MUMORD0048,CUST2947,Customer_180,P002,Mobile,Electronics,4,27000,2026-04-04,Mumbai
MUMORD0049,CUST8649,Customer_23,P005,Shoes,Clothing,8,2800,2026-04-25,Mumbai
MUMORD0050,CUST3746,Customer_120,P002,Mobile,Electronics,8,27000,2026-05-08,Mumbai
MUMORD0051,CUST6390,Customer_159,P006,Mixer,Home Appliances,4,3800,2026-04-27,Mumbai
MUMORD0052,CUST4537,Customer_140,P004,T-Shirt,Clothing,2,900,2026-06-16,Mumbai
MUMORD0053,CUST1975,Customer_49,P005,Shoes,Clothing,2,2800,2026-01-26,Mumbai
MUMORD0054,CUST9123,Customer_19,P007,Microwave,Home Appliances,8,13000,2026-04-01,Mumbai
MUMORD0055,CUST9956,Customer_71,P006,Mixer,Home Appliances,3,3800,2026-04-01,Mumbai
MUMORD0056,CUST5606,Customer_131,P007,Microwave,Home Appliances,1,13000,2026-05-02,Mumbai
MUMORD0057,CUST3351,Customer_39,P004,T-Shirt,Clothing,3,900,2026-05-14,Mumbai
MUMORD0058,CUST6568,Customer_176,P006,Mixer,Home Appliances,3,3800,2026-03-22,Mumbai
MUMORD0059,CUST9255,Customer_101,P004,T-Shirt,Clothing,7,900,2026-03-11,Mumbai
MUMORD0060,CUST7448,Customer_36,P007,Microwave,Home Appliances,2,13000,2026-04-20,Mumbai
MUMORD0061,CUST3009,Customer_10,P004,T-Shirt,Clothing,3,900,2026-05-21,Mumbai
MUMORD0062,CUST1682,Customer_7,P005,Shoes,Clothing,8,2800,2026-02-10,Mumbai
MUMORD0063,CUST8280,Customer_54,P002,Mobile,Electronics,8,27000,2026-04-18,Mumbai
MUMORD0064,CUST3688,Customer_69,P006,Mixer,Home Appliances,1,3800,2026-05-22,Mumbai
MUMORD0065,CUST3212,,P007,Microwave,Home Appliances,8,13000,2026-01-05,Mumbai
MUMORD0066,CUST7796,Customer_7,P002,Mobile,Electronics,5,27000,2026-03-09,Mumbai
MUMORD0067,CUST9426,Customer_141,P005,Shoes,Clothing,5,2800,2026-02-10,Mumbai
MUMORD0068,CUST8302,Customer_89,P006,Mixer,Home Appliances,8,3800,2026-01-10,Mumbai
MUMORD0069,CUST2499,Customer_115,P007,Microwave,Home Appliances,4,13000,2026-01-28,Mumbai
MUMORD0070,CUST6073,Customer_43,P005,Shoes,Clothing,1,2800,2026-01-21,Mumbai
MUMORD0071,CUST5480,Customer_161,P002,Mobile,Electronics,8,27000,2026-04-13,Mumbai
MUMORD0072,CUST6187,Customer_70,P005,Shoes,Clothing,9,2800,2026-04-01,Mumbai
MUMORD0073,CUST1841,Customer_60,P002,Mobile,Electronics,5,27000,2026-01-04,Mumbai
MUMORD0074,CUST3179,Customer_82,P005,Shoes,Clothing,9,2800,2026-06-20,Mumbai
MUMORD0075,CUST4991,Customer_171,P002,Mobile,Electronics,3,27000,2026-03-05,Mumbai
MUMORD0076,CUST1360,Customer_151,P002,Mobile,Electronics,10,27000,2026-01-08,Mumbai
MUMORD0077,CUST7262,Customer_167,P004,T-Shirt,Clothing,3,900,2026-04-10,Mumbai
MUMORD0078,CUST8276,Customer_127,P005,Shoes,Clothing,2,2800,2026-02-08,Mumbai
MUMORD0079,CUST3358,Customer_157,P007,Microwave,Home Appliances,5,13000,2026-02-21,Mumbai
MUMORD0080,CUST2678,Customer_138,P006,Mixer,Home Appliances,6,3800,2026-06-20,Mumbai
MUMORD0081,CUST6117,Customer_64,P004,T-Shirt,Clothing,6,900,2026-06-13,Mumbai
MUMORD0082,CUST7004,Customer_14,P002,Mobile,Electronics,10,27000,2026-06-10,Mumbai
MUMORD0083,CUST3331,Customer_104,P006,Mixer,Home Appliances,5,3800,2026-04-23,Mumbai
MUMORD0084,CUST4716,Customer_14,P005,Shoes,Clothing,4,2800,2026-01-25,Mumbai
MUMORD0085,CUST2294,Customer_49,P006,Mixer,Home Appliances,7,3800,2026-01-18,Mumbai
MUMORD0086,CUST6914,Customer_10,P005,Shoes,Clothing,6,2800,2026-03-22,Mumbai
MUMORD0087,CUST5047,Customer_92,P006,Mixer,Home Appliances,9,3800,2026-02-19,Mumbai
MUMORD0088,CUST1691,Customer_135,P005,Shoes,Clothing,3,2800,2026-01-07,Mumbai
MUMORD0089,CUST3496,Customer_128,P005,Shoes,Clothing,10,2800,2026-02-19,Mumbai
MUMORD0090,CUST2706,Customer_92,P005,Shoes,Clothing,4,2800,2026-03-21,Mumbai
MUMORD0091,CUST1006,Customer_115,P005,Shoes,Clothing,9,2800,2026-05-11,Mumbai
MUMORD0092,CUST2868,Customer_126,P002,Mobile,Electronics,8,27000,2026-04-07,Mumbai
MUMORD0093,CUST6625,Customer_93,P007,Microwave,Home Appliances,4,13000,2026-02-14,Mumbai
MUMORD0094,CUST5185,Customer_108,P006,Mixer,Home Appliances,4,3800,2026-03-14,Mumbai
MUMORD0095,CUST9099,Customer_16,P006,Mixer,Home Appliances,6,3800,2026-01-10,Mumbai
MUMORD0096,CUST4288,Customer_139,P007,Microwave,Home Appliances,4,13000,2026-02-15,Mumbai
MUMORD0097,CUST7633,Customer_154,P004,T-Shirt,Clothing,3,900,2026-04-20,Mumbai
MUMORD0098,CUST6840,Customer_40,P004,T-Shirt,Clothing,6,900,2026-01-23,Mumbai
MUMORD0099,CUST8107,Customer_109,P004,T-Shirt,Clothing,4,900,2026-04-08,Mumbai
MUMORD0100,CUST3123,Customer_26,P005,Shoes,Clothing,3,2800,2026-03-20,Mumbai
MUMORD0101,CUST4543,Customer_24,P004,T-Shirt,Clothing,4,900,2026-03-25,Mumbai
